normalized_form,type,variant,script,source_tier,source_ref
Miara,surname,Miara,latin,1b,C_Serock F1/F2/F3
Miara,surname,Мяра,cyrillic,1,W3 act34 RESOLVED
Miara,surname,Micznik,latin,3,Serock_Survivors_Hunt (married surname of Chawa)
Goldsztejn,surname,Goldsztejn,latin,1b,C_Serock F1
Goldsztejn,surname,Goldsztajn,latin,3,1947 decree (INF)
Goldsztejn,surname,Гольдштейнъ,cyrillic,1b,C_Serock F1
Kanarek,surname,Kanarek,latin,1b,C_Serock F1/F3
Kanarek,surname,Kania,latin,1b,C_Serock F1 (1876 act uncertain form)
Herszfeld,surname,Herszfeld,latin,1,W2 act6 RESOLVED
Herszfeld,surname,Гершвельдъ,cyrillic,1,W2 act6 (clerk writes ф as в)
Auksztukalska,surname,Auksztukalska,latin,1,W1 act2 RESOLVED
Auksztukalska,surname,Аукштукальская,cyrillic,1,W1 act2
Auksztukalska,surname,Укштукальскій,cyrillic,1,W2 act3 (male form)
Antoszewicz,surname,Antoszewicz,latin,1,W1/W2 triple-confirmed
Antoszewicz,surname,Антошевичъ,cyrillic,1,W1 act5
Malowanczyk,surname,Malowanczyk,latin,1,W1 act1
Malowanczyk,surname,Малованчикъ,cyrillic,1,W1 act1
Borensztejn,surname,Borensztejn,latin,1,W1 acts1-2
Borensztejn,surname,Боренштейнъ,cyrillic,1,W1/W3
Borensztejn,surname,Berenstein,latin,1,W1 act1 readerB variant pooled
Zajczyk,surname,Zajczyk,latin,1,W2 act3
Zajczyk,surname,Зайчикъ,cyrillic,1,W2 act3
Tykulski,surname,Tykulski,latin,1,W2 act4
Tykulski,surname,Тыкульскій,cyrillic,1,W2 act4
Psznek,surname,Пшнекъ,cyrillic,1,W2 arb#7 (LEANING)
Psznek,surname,Pienik,latin,5,YZK p489 (Reb Yidel Pienik)
Cykor,surname,Цикоръ,cyrillic,1,W2 act5 RESOLVED
Cukier,surname,Cukier,latin,4,SURV survivor list
Cukier,surname,Zuker,latin,4,SURV survivor list
Kaltun,surname,Калтунъ,cyrillic,1,W2 act4 RESOLVED
Koltun,surname,Колтунъ,cyrillic,1,W3 arb#20 (SURE) — CONFLICT with Kowszun
Kowszun,surname,Ковшунъ,cyrillic,1,VR acts36-38 — CONFLICT with Koltun
Kendzior,surname,Kendzior,latin,1,W2 act5
